Rc,rep,seed,best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec
5.0,8,7033,151,0.869864,0.002121,0.835558,0.834711,0.024391,1114.145
5.0,9,7034,128,0.860777,0.002092,0.837789,0.837327,0.022481,1067.581
6.0,0,8025,121,0.840940,0.002902,0.774981,0.773749,0.029677,1119.550
6.0,1,8026,132,0.843850,0.002560,0.801552,0.800445,0.031604,1110.488
6.0,2,8027,161,0.854444,0.002237,0.826541,0.825858,0.025212,1355.592
6.0,3,8028,160,0.840013,0.002766,0.785559,0.784709,0.033356,1233.055
6.0,4,8029,126,0.845585,0.002442,0.810688,0.809879,0.027431,1196.700
6.0,5,8030,151,0.836404,0.002662,0.793599,0.792541,0.032750,1157.136
6.0,6,8031,182,0.841699,0.002415,0.812768,0.812271,0.026060,1377.961
6.0,7,8032,169,0.844636,0.002595,0.798780,0.797697,0.031319,1247.599
6.0,8,8033,139,0.848423,0.002128,0.834981,0.834622,0.022588,1158.849
6.0,9,8034,173,0.844958,0.002510,0.805373,0.804532,0.029449,1361.491
7.0,0,9025,149,0.801893,0.003772,0.707528,0.705536,0.038949,1146.623
7.0,1,9026,151,0.837142,0.003188,0.752813,0.750900,0.035637,1330.029
7.0,2,9027,146,0.760809,0.003947,0.693941,0.692089,0.039190,1084.323
7.0,3,9028,141,0.825690,0.003465,0.731360,0.729407,0.036599,1142.570
7.0,4,9029,163,0.812824,0.003634,0.718235,0.716017,0.044392,1169.385
7.0,5,9030,201,0.841908,0.002960,0.770539,0.769025,0.033716,1458.240
7.0,6,9031,177,0.815953,0.003497,0.728869,0.726980,0.036437,1312.103
7.0,7,9032,122,0.829648,0.003220,0.750349,0.747985,0.036261,1140.883
7.0,8,9033,206,0.847053,0.002883,0.776436,0.774583,0.034508,1467.168
7.0,9,9034,174,0.831733,0.003235,0.749169,0.747262,0.033592,1307.197
8.0,0,10025,132,0.815446,0.003628,0.718674,0.716332,0.033718,1114.315
8.0,1,10026,169,0.817247,0.003482,0.730012,0.727570,0.035846,1293.570
8.0,2,10027,134,0.798672,0.003855,0.701090,0.698895,0.036738,1131.255
8.0,3,10028,138,0.827033,0.003334,0.741507,0.739179,0.034339,1199.791
8.0,4,10029,144,0.816553,0.003614,0.719826,0.717363,0.036140,1115.787
8.0,5,10030,177,0.831969,0.003188,0.752799,0.750279,0.031574,1351.981
8.0,6,10031,153,0.807664,0.003677,0.714902,0.713283,0.036396,1135.903
8.0,7,10032,180,0.828725,0.003070,0.761998,0.759748,0.032292,1329.679
8.0,8,10033,149,0.804658,0.003803,0.705165,0.702960,0.037211,1133.415
8.0,9,10034,170,0.813112,0.003694,0.713621,0.710745,0.038251,1309.708

